"df_teams_analytics$team","round_16","quarter","semi","final","champion"
"Brazil",0.885,0.572,0.398,0.258,0.178
"Argentina",0.861,0.589,0.401,0.249,0.137
"France",0.826,0.475,0.287,0.149,0.086
"England",0.819,0.505,0.221,0.111,0.051
"Uruguay",0.796,0.412,0.19,0.082,0.036
"Germany",0.779,0.486,0.327,0.208,0.113
"Belgium",0.759,0.424,0.181,0.096,0.043
"Spain",0.752,0.501,0.289,0.146,0.079
"Colombia",0.704,0.367,0.179,0.084,0.043
"Portugal",0.623,0.389,0.19,0.094,0.041
"Croatia",0.623,0.339,0.181,0.076,0.033
"Poland",0.568,0.251,0.105,0.042,0.016
"Russia",0.546,0.202,0.073,0.02,0.004
"Japan",0.529,0.25,0.088,0.026,0.008
"Iran",0.521,0.306,0.128,0.055,0.019
"Mexico",0.519,0.236,0.121,0.067,0.033
"Peru",0.512,0.207,0.086,0.029,0.009
"Costa Rica",0.492,0.204,0.094,0.044,0.016
"South Korea",0.457,0.204,0.115,0.058,0.025
"Switzerland",0.414,0.162,0.072,0.037,0.015
"Egypt",0.37,0.097,0.027,0.004,0.001
"Australia",0.339,0.1,0.035,0.011,0.002
"Denmark",0.323,0.083,0.024,0.006,0.001
"Iceland",0.313,0.131,0.049,0.013,0.004
"Panama",0.292,0.09,0.023,0.005,0.001
"Saudi Arabia",0.288,0.062,0.017,0.005,0.001
"Sweden",0.245,0.079,0.034,0.012,0.001
"Serbia",0.209,0.057,0.017,0.003,0
"Nigeria",0.203,0.076,0.017,0.003,0.001
"Senegal",0.199,0.072,0.019,0.004,0.002
"Tunisia",0.13,0.041,0.006,0.001,0
"Morocco",0.104,0.031,0.006,0.002,0.001
